No;Nama;UTS;UAS;TUGAS;CATATAN;NILAI AKHIR
109;Dian;76;77;80;94;81,75
110;Dodi;85;70;83;78;79
111;Nina;93;80;73;80;81,5
112;Adit;74;94;79;87;83,375
113;Tia;74;82;82;80;79,5
114;Andi;81;94;87;78;84,875
115;Nia;89;71;84;78;80,375
116;Bayu;90;93;85;79;86,75
117;Indah;93;92;71;85;85,25
118;Rama;85;75;92;78;82,375
119;Nisa;76;91;77;78;80,5
120;Iwan;83;74;82;89;82
121;Mega;85;87;90;87;87,25
122;Agung;89;91;88;92;90
123;Ria;87;72;83;73;78,75
124;Dino;92;79;91;95;89,25
125;Rini;73;76;73;93;78,75
126;Yoga;95;75;74;86;82,5
127;Evi;93;89;85;88;88,75
128;Aji;86;77;75;80;79,5
129;Lina;88;75;81;85;82,25
130;Dika;80;77;91;73;80,25
131;Yuli;85;75;91;81;83
132;Bagus;73;82;88;88;82,75
133;Tina;81;93;83;83;85
134;Farid;81;79;74;91;81,25
